2025-10-16 11:26:26,642 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2025-10-16 11:26:29,323 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2025-10-16 11:26:29,323 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2025-10-16 11:26:29,329 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2025-10-16 11:26:29,329 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2025-10-16 11:26:29,334 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2025-10-16 11:26:29,334 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-10-16 11:26:29,341 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2025-10-16 11:26:29,341 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2025-10-16 11:26:29,347 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2025-10-16 11:26:29,347 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2025-10-16 11:26:29,354 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2025-10-16 11:26:29,354 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-10-16 11:26:29,362 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2025-10-16 11:26:29,362 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2025-10-16 11:26:29,369 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2025-10-16 11:26:29,369 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2025-10-16 11:26:29,379 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-icon" at index "0"
2025-10-16 11:26:29,379 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2025-10-16 11:26:29,392 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-title-text" at index "0"
2025-10-16 11:26:29,392 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-10-16 11:26:29,402 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-title-text" at index "0"
2025-10-16 11:26:29,402 | BASE_ELEMENT | INFO | Checking that text "Title" has text "There is no results"
2025-10-16 11:26:29,410 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-description-text" at index "0"
2025-10-16 11:26:29,410 | BASE_ELEMENT | INFO | Checking that text "Description" is visible
2025-10-16 11:26:29,422 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-description-text" at index "0"
2025-10-16 11:26:29,422 | BASE_ELEMENT | INFO | Checking that text "Description" has text "Results from the load test pipeline will be displayed here"
